Indicator,Market,Destination,Units,period_date,value
Visitor arrivals,Total,Statewide,persons,2009-01-01,523512.0
Visitor arrivals,US Total,Statewide,persons,2009-01-01,323944.0
Visitor arrivals,US Total,Oahu,persons,2009-01-01,
Visitor arrivals,US Total,Kauai,persons,2009-01-01,
Visitor arrivals,US Total,Maui County,persons,2009-01-01,
Visitor arrivals,US Total,Maui Island,persons,2009-01-01,
Visitor arrivals,US Total,Molokai,persons,2009-01-01,
Visitor arrivals,US Total,Lanai,persons,2009-01-01,
Visitor arrivals,US Total,Hawaii Island,persons,2009-01-01,
Visitor arrivals,US Total,Hilo,persons,2009-01-01,
Visitor arrivals,US Total,Kona,persons,2009-01-01,
Visitor arrivals,Japan,Statewide,persons,2009-01-01,92662.0
Visitor arrivals,Japan,Oahu,persons,2009-01-01,
Visitor arrivals,Japan,Kauai,persons,2009-01-01,
Visitor arrivals,Japan,Maui County,persons,2009-01-01,
Visitor arrivals,Japan,Maui Island,persons,2009-01-01,
Visitor arrivals,Japan,Molokai,persons,2009-01-01,
Visitor arrivals,Japan,Lanai,persons,2009-01-01,
Visitor arrivals,Japan,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Japan,Hilo,persons,2009-01-01,
Visitor arrivals,Japan,Kona,persons,2009-01-01,
Visitor arrivals,Canada,Statewide,persons,2009-01-01,43880.0
Visitor arrivals,Canada,Oahu,persons,2009-01-01,
Visitor arrivals,Canada,Kauai,persons,2009-01-01,
Visitor arrivals,Canada,Maui County,persons,2009-01-01,
Visitor arrivals,Canada,Maui Island,persons,2009-01-01,
Visitor arrivals,Canada,Molokai,persons,2009-01-01,
Visitor arrivals,Canada,Lanai,persons,2009-01-01,
Visitor arrivals,Canada,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Canada,Hilo,persons,2009-01-01,
Visitor arrivals,Canada,Kona,persons,2009-01-01,
Visitor arrivals,Europe,Statewide,persons,2009-01-01,5789.0
Visitor arrivals,Europe,Oahu,persons,2009-01-01,
Visitor arrivals,Europe,Kauai,persons,2009-01-01,
Visitor arrivals,Europe,Maui County,persons,2009-01-01,
Visitor arrivals,Europe,Maui Island,persons,2009-01-01,
Visitor arrivals,Europe,Molokai,persons,2009-01-01,
Visitor arrivals,Europe,Lanai,persons,2009-01-01,
Visitor arrivals,Europe,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Europe,Hilo,persons,2009-01-01,
Visitor arrivals,Europe,Kona,persons,2009-01-01,
Visitor arrivals,United Kingdom,Statewide,persons,2009-01-01,2583.0
Visitor arrivals,France,Statewide,persons,2009-01-01,491.0
Visitor arrivals,Germany,Statewide,persons,2009-01-01,1775.0
Visitor arrivals,Italy,Statewide,persons,2009-01-01,403.0
Visitor arrivals,Switzerland,Statewide,persons,2009-01-01,537.0
Visitor arrivals,Oceania,Statewide,persons,2009-01-01,11433.0
Visitor arrivals,Oceania,Oahu,persons,2009-01-01,
Visitor arrivals,Oceania,Kauai,persons,2009-01-01,
Visitor arrivals,Oceania,Maui County,persons,2009-01-01,
Visitor arrivals,Oceania,Maui Island,persons,2009-01-01,
Visitor arrivals,Oceania,Molokai,persons,2009-01-01,
Visitor arrivals,Oceania,Lanai,persons,2009-01-01,
Visitor arrivals,Oceania,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Oceania,Hilo,persons,2009-01-01,
Visitor arrivals,Oceania,Kona,persons,2009-01-01,
Visitor arrivals,Australia,Statewide,persons,2009-01-01,10736.0
Visitor arrivals,Australia,Oahu,persons,2009-01-01,
Visitor arrivals,Australia,Kauai,persons,2009-01-01,
Visitor arrivals,Australia,Maui County,persons,2009-01-01,
Visitor arrivals,Australia,Maui Island,persons,2009-01-01,
Visitor arrivals,Australia,Molokai,persons,2009-01-01,
Visitor arrivals,Australia,Lanai,persons,2009-01-01,
Visitor arrivals,Australia,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Australia,Hilo,persons,2009-01-01,
Visitor arrivals,Australia,Kona,persons,2009-01-01,
Visitor arrivals,New Zealand,Statewide,persons,2009-01-01,697.0
Visitor arrivals,New Zealand,Oahu,persons,2009-01-01,
Visitor arrivals,New Zealand,Kauai,persons,2009-01-01,
Visitor arrivals,New Zealand,Maui County,persons,2009-01-01,
Visitor arrivals,New Zealand,Maui Island,persons,2009-01-01,
Visitor arrivals,New Zealand,Molokai,persons,2009-01-01,
Visitor arrivals,New Zealand,Lanai,persons,2009-01-01,
Visitor arrivals,New Zealand,Hawaii Island,persons,2009-01-01,
Visitor arrivals,New Zealand,Hilo,persons,2009-01-01,
Visitor arrivals,New Zealand,Kona,persons,2009-01-01,
Visitor arrivals,Other Asia,Statewide,persons,2009-01-01,12391.0
Visitor arrivals,Other Asia,Oahu,persons,2009-01-01,
Visitor arrivals,Other Asia,Kauai,persons,2009-01-01,
Visitor arrivals,Other Asia,Maui County,persons,2009-01-01,
Visitor arrivals,Other Asia,Maui Island,persons,2009-01-01,
Visitor arrivals,Other Asia,Molokai,persons,2009-01-01,
Visitor arrivals,Other Asia,Lanai,persons,2009-01-01,
Visitor arrivals,Other Asia,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Other Asia,Hilo,persons,2009-01-01,
Visitor arrivals,Other Asia,Kona,persons,2009-01-01,
Visitor arrivals,China,Statewide,persons,2009-01-01,6005.0
Visitor arrivals,China,Oahu,persons,2009-01-01,
Visitor arrivals,China,Kauai,persons,2009-01-01,
Visitor arrivals,China,Maui County,persons,2009-01-01,
Visitor arrivals,China,Maui Island,persons,2009-01-01,
Visitor arrivals,China,Molokai,persons,2009-01-01,
Visitor arrivals,China,Lanai,persons,2009-01-01,
Visitor arrivals,China,Hawaii Island,persons,2009-01-01,
Visitor arrivals,China,Hilo,persons,2009-01-01,
Visitor arrivals,China,Kona,persons,2009-01-01,
Visitor arrivals,Hong Kong,Statewide,persons,2009-01-01,667.0
Visitor arrivals,Korea,Statewide,persons,2009-01-01,4055.0
Visitor arrivals,Korea,Oahu,persons,2009-01-01,
Visitor arrivals,Korea,Kauai,persons,2009-01-01,
Visitor arrivals,Korea,Maui County,persons,2009-01-01,
Visitor arrivals,Korea,Maui Island,persons,2009-01-01,
Visitor arrivals,Korea,Molokai,persons,2009-01-01,
Visitor arrivals,Korea,Lanai,persons,2009-01-01,
Visitor arrivals,Korea,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Korea,Hilo,persons,2009-01-01,
Visitor arrivals,Korea,Kona,persons,2009-01-01,
Visitor arrivals,Singapore,Statewide,persons,2009-01-01,361.0
Visitor arrivals,Taiwan,Statewide,persons,2009-01-01,1302.0
Visitor arrivals,Taiwan,Oahu,persons,2009-01-01,
Visitor arrivals,Taiwan,Kauai,persons,2009-01-01,
Visitor arrivals,Taiwan,Maui County,persons,2009-01-01,
Visitor arrivals,Taiwan,Maui Island,persons,2009-01-01,
Visitor arrivals,Taiwan,Molokai,persons,2009-01-01,
Visitor arrivals,Taiwan,Lanai,persons,2009-01-01,
Visitor arrivals,Taiwan,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Taiwan,Hilo,persons,2009-01-01,
Visitor arrivals,Taiwan,Kona,persons,2009-01-01,
Visitor arrivals,Latin America,Statewide,persons,2009-01-01,1353.0
Visitor arrivals,Latin America,Oahu,persons,2009-01-01,
Visitor arrivals,Latin America,Kauai,persons,2009-01-01,
Visitor arrivals,Latin America,Maui County,persons,2009-01-01,
Visitor arrivals,Latin America,Maui Island,persons,2009-01-01,
Visitor arrivals,Latin America,Molokai,persons,2009-01-01,
Visitor arrivals,Latin America,Lanai,persons,2009-01-01,
Visitor arrivals,Latin America,Hawaii Island,persons,2009-01-01,
Visitor arrivals,Latin America,Hilo,persons,2009-01-01,
Visitor arrivals,Latin America,Kona,persons,2009-01-01,
Visitor arrivals,Argentina,Statewide,persons,2009-01-01,267.0
Visitor arrivals,Brazil,Statewide,persons,2009-01-01,678.0
Visitor arrivals,Mexico,Statewide,persons,2009-01-01,407.0
Visitor arrivals,Visitors by ship,Statewide,persons,2009-01-01,10120.0
Visitor days,Total,Statewide,days,2009-01-01,5600376.0
Visitor days,US Total,Statewide,days,2009-01-01,3815445.0
Visitor days,Japan,Statewide,days,2009-01-01,544313.0
Visitor days,Canada,Statewide,days,2009-01-01,642861.0
Visitor days,Europe,Statewide,days,2009-01-01,89376.0
Visitor days,United Kingdom,Statewide,days,2009-01-01,30284.0
Visitor days,France,Statewide,days,2009-01-01,8706.0
Visitor days,Germany,Statewide,days,2009-01-01,32642.0
Visitor days,Italy,Statewide,days,2009-01-01,6028.0
Visitor days,Switzerland,Statewide,days,2009-01-01,11717.0
Visitor days,Oceania,Statewide,days,2009-01-01,92766.0
Visitor days,Australia,Statewide,days,2009-01-01,84855.0
Visitor days,New Zealand,Statewide,days,2009-01-01,7911.0
Visitor days,Other Asia,Statewide,days,2009-01-01,97248.0
