"Indicator","Market","Destination","Units","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04"
"Airseat","All, Scheduled & Charters","All airports in Hawaii","number","743,674","654,815","756,260","738,381","736,718","760,449","820,544","796,421","646,789","684,930","671,548","776,192","761,424","691,330","808,060","758,338","758,096","811,011","860,926","837,360","716,943","745,860","728,717","821,848","804,269","725,659","824,419","776,561","752,931","797,496","845,198","817,221","733,525","744,800","729,542","840,670","828,165","768,037","865,833","800,666","794,729","849,154","949,156","940,073","809,602","828,932","838,397","936,472","915,965","844,874","971,404","891,790","857,003","932,884","995,526","984,483","817,914","851,205","863,617","965,155","946,549","847,238","982,885","898,448","898,847","956,303","1,032,625","1,019,825","863,609","897,190","887,913","1,031,511","999,319","888,944","1,046,467","978,585","978,261","1,043,885","1,097,366","1,074,914","881,549","928,866","927,289","1,067,406","1,021,988","958,771","1,058,805","975,737","979,229","1,047,738","1,105,181","1,061,887","887,846","931,243","918,646","1,076,598","1,024,115","912,291","1,051,514","978,406","971,957","1,066,012","1,139,710","1,096,537","925,203","962,692","964,993","1,142,178","1,123,132","1,005,821","1,173,108","1,084,745","1,092,932","1,138,762","1,199,335","1,162,380","1,020,217","1,021,853","1,035,694","1,181,196","1,134,182","931,114","1,192,137","1,112,200","1,118,421","1,182,276","1,254,165","1,186,309","1,012,883","1,063,333","1,073,083","1,252,782","1,202,300","1,107,405","943,095","95,985","97,753","110,570","162,130","179,570","156,220","223,353","440,846","599,440","593,981","532,220","661,873","727,980","829,917","994,026","1,292,738","1,139,215","962,659","1,011,933","1,003,431","1,088,154","1,036,109","938,360","1,161,904","1,085,948","1,039,362","1,049,608","1,175,655","1,142,106","957,031","974,071","1,026,142","1,175,147","1,182,832","1,029,278","1,199,482","1,085,186","1,065,692","1,114,054","1,175,655","1,138,175","964,132","1,015,687","1,048,648","1,127,115","1,101,952","1,044,478","1,181,869","1,035,705","1,129,248","1,135,572","1,202,693","1,117,853","990,746","1,033,867","1,061,794","1,194,302","1,122,877","994,295","1,189,430","1,103,399","1,060,288","1,107,650","1,153,876","1,104,220","982,375","1,043,747","1,059,378","1,219,835","1,162,771","1,072,409","1,247,294","1,146,516"
"Airseat","All, Scheduled & Charters","Honolulu","number","530,540","467,862","533,846","528,893","539,581","538,220","573,555","564,800","490,457","504,946","493,553","557,039","546,891","489,788","555,797","523,449","536,270","557,154","579,994","577,158","519,818","524,662","515,162","572,696","567,974","510,750","569,967","528,943","535,985","547,307","570,311","572,014","531,648","529,328","517,138","579,202","572,935","523,666","578,047","547,985","565,432","597,523","656,360","667,582","596,953","594,458","586,307","648,962","629,045","584,026","669,541","630,243","632,023","666,204","706,786","718,130","619,056","631,823","620,047","680,718","662,208","587,918","669,890","623,999","650,164","675,542","710,878","716,089","636,372","645,234","621,423","700,609","673,548","595,832","687,374","657,739","683,006","698,292","737,424","740,994","636,103","656,338","641,246","710,520","677,879","634,721","686,168","652,919","684,391","695,272","725,602","712,433","634,972","656,755","627,784","700,112","675,748","600,445","670,418","644,616","667,858","700,353","747,418","735,496","648,548","661,842","638,710","722,316","705,294","626,284","701,773","658,220","683,597","701,939","736,837","735,722","681,608","670,299","651,222","724,397","701,253","563,623","719,332","683,614","699,144","707,149","753,163","729,763","666,292","680,197","662,227","762,775","734,783","666,465","569,088","79,193","88,682","93,975","133,361","153,101","129,848","155,412","236,283","329,931","320,887","284,374","351,780","370,909","424,272","499,661","602,348","578,677","488,158","498,053","502,189","574,819","543,136","489,945","592,086","574,380","554,458","529,531","692,659","623,774","547,112","570,092","593,100","676,622","685,310","597,554","677,865","635,684","635,963","653,004","692,659","693,101","630,580","663,700","674,962","701,358","703,580","663,225","746,481","653,461","733,982","727,016","763,895","713,860","642,531","666,054","677,832","760,451","715,983","674,654","761,704","725,004","688,241","710,046","750,765","712,909","643,192","681,867","670,138","755,941","725,503","651,752","754,778","709,270"
"Airseat","All, Scheduled & Charters","Kahului","number","125,393","112,042","133,002","121,900","112,174","129,915","145,499","134,188","90,984","104,281","103,520","128,996","126,893","120,358","150,614","138,169","127,495","148,913","167,601","155,027","118,787","134,481","135,639","156,143","145,374","132,475","159,732","153,977","127,672","145,810","159,531","140,837","118,777","123,873","125,829","154,707","153,466","146,185","168,955","146,418","130,434","142,050","174,292","159,664","121,355","135,150","145,449","167,609","168,317","151,399","177,254","155,054","134,627","161,403","176,241","159,294","118,929","126,546","142,081","172,111","164,413","149,874","184,956","166,673","149,009","160,974","183,438","170,585","136,745","147,749","161,238","200,178","198,604","177,908","218,014","195,493","175,804","199,809","205,666","190,165","151,505","163,518","173,545","215,371","203,015","191,338","224,018","198,615","178,285","203,681","216,253","195,436","157,706","166,191","177,624","222,670","204,533","181,031","222,042","201,329","179,830","198,122","212,504","195,145","161,621","165,302","182,909","225,382","219,572","198,389","247,485","228,447","210,063","230,610","244,942","230,161","188,028","187,137","199,570","241,821","227,992","186,999","250,374","241,231","229,284","266,126","281,642","257,291","204,957","222,366","232,672","278,184","262,431","243,125","211,757","7,996","3,667","10,974","18,461","12,759","13,361","31,552","109,374","176,709","185,146","161,217","201,933","228,221","243,702","280,976","444,268","312,045","253,328","284,080","269,366","253,957","282,137","263,174","329,614","291,436","265,870","287,701","271,942","289,691","227,166","226,601","247,409","281,996","289,545","252,522","303,121","253,155","238,880","257,952","271,942","235,401","160,238","165,836","188,691","217,265","209,405","201,970","231,461","206,599","198,482","205,298","221,489","203,261","179,965","185,116","198,573","220,462","208,380","167,907","228,429","215,780","185,554","199,419","213,010","195,553","168,760","179,080","203,362","232,008","219,571","219,334","265,174","224,323"
"Airseat","All, Scheduled & Charters","Kona","number","54,784","46,469","55,053","53,582","48,929","50,058","54,327","53,627","35,648","43,966","43,395","54,026","54,098","50,642","62,620","58,942","55,601","60,838","66,149","61,641","45,728","51,355","46,282","54,765","54,946","50,290","57,159","49,833","46,771","49,656","53,509","47,567","37,810","43,301","42,372","53,700","53,400","52,158","63,923","51,636","44,699","51,912","57,057","54,464","42,969","50,158","53,268","58,142","59,175","57,277","65,725","52,950","41,782","47,358","50,969","48,172","36,532","46,598","51,526","55,383","61,923","57,509","68,451","52,802","45,518","57,177","66,418","64,761","42,629","50,502","52,099","66,764","66,197","62,728","79,656","67,833","63,820","75,610","79,826","73,769","46,369","56,851","61,829","74,493","76,245","74,233","84,715","68,045","62,109","76,735","82,313","77,641","48,082","55,129","61,793","85,522","81,987","77,460","97,199","76,115","68,980","87,139","93,889","84,916","57,885","70,963","79,538","108,349","109,421","100,340","124,351","110,365","110,889","116,620","121,671","108,840","78,012","85,768","98,629","115,863","114,953","101,139","124,674","103,300","106,089","114,157","119,878","108,231","74,540","83,243","93,196","115,328","119,217","114,642","95,688","4,781","3,088","3,281","7,528","9,850","9,453","23,045","45,796","78,053","79,886","74,875","92,336","92,520","107,706","125,211","139,626","138,197","118,504","125,379","125,271","143,779","111,945","100,792","130,795","116,149","116,036","124,791","122,276","121,033","93,560","90,874","93,981","117,794","117,394","105,636","127,383","109,482","106,915","117,084","122,276","121,047","102,155","114,408","116,049","127,284","109,364","107,618","121,572","100,216","110,046","112,214","120,107","113,187","95,646","105,149","107,075","123,211","117,522","91,268","113,233","71,180","99,691","107,040","112,522","104,256","89,792","100,631","108,513","132,008","131,119","117,746","130,560","114,096"
"Airseat","All, Scheduled & Charters","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,925","5,652","5,495","5,338","5,652","5,338","5,652","5,495","5,181","5,652","6,120","6,300","5,320","5,320","4,864","3,496","3,192","3,952","4,271","4,104","3,040","3,344","3,925","4,239","5,082","5,456","4,620","3,234","3,388","3,399","4,466","3,804","3,128","3,424","3,234","4,266","4,484","4,774","4,774","3,388","3,388","3,388","4,004","2,002","2,464","3,388","3,850","3,508","4,466","4,774","4,978","3,794","3,590","3,460","4,266","2,714","2,667","3,508","3,448","3,496","4,218","5,254","4,208","3,604","3,794","3,652","4,482","3,154","2,726","3,592","3,486","3,652","4,648","4,870","5,014","3,818","4,316","4,102","4,802","5,159","4,648","5,146","4,980","5,146","4,980","5,146","3,652","3,486","3,652","3,984","4,316","2,822","2,656","3,665","3,873","3,938","4,700","5,146","4,804","3,486","4,648","3,818","4,316","2,822","2,490","3,652","0","0","0","0","0","0","0","0","0","0","0","1,992","2,158","2,158","4,999","5,549","5,549","3,759","3,759","4,296","4,537","2,685","2,148","3,899","2,887","3,183","5,191","0","5,549","4,117","3,925","3,818","4,482","1,162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All, Scheduled & Charters","Lihue","number","32,957","28,442","34,359","34,006","36,034","42,256","47,163","43,806","29,700","31,737","31,080","36,131","33,542","30,542","39,029","37,778","38,730","44,106","47,182","43,534","32,610","35,362","31,634","38,244","35,975","32,144","37,561","43,808","42,503","50,798","56,195","51,308","39,952","42,646","38,865","47,409","42,869","40,847","49,256","48,507","47,864","52,349","56,127","53,499","44,829","45,974","49,421","57,488","55,324","49,132","55,540","49,618","44,332","52,837","56,074","54,267","40,163","42,850","46,564","52,477","54,201","48,809","56,164","51,740","49,890","58,126","67,117","63,616","44,475","50,317","49,765","59,956","58,968","50,012","58,035","53,670","52,123","65,708","69,676","65,008","43,778","48,569","47,209","62,756","62,135","55,812","60,396","52,710","50,948","67,832","75,759","72,169","43,482","49,374","47,793","63,812","58,693","50,629","58,263","52,860","51,637","75,750","81,029","75,966","53,331","60,269","59,734","81,329","83,686","76,160","94,353","82,733","83,237","84,613","90,739","84,005","69,083","74,997","82,289","94,799","87,162","76,697","94,092","80,182","79,966","90,144","94,336","86,220","63,608","72,879","81,170","92,179","83,047","80,683","62,910","4,015","2,316","2,340","2,780","3,860","3,558","13,344","49,393","14,747","8,062","11,754","13,832","34,172","52,079","83,179","100,947","104,747","98,910","100,662","102,309","111,062","96,206","82,301","105,510","101,096","99,815","102,394","88,778","102,059","85,076","82,579","87,834","94,253","89,421","73,566","91,113","86,865","83,934","86,014","88,778","88,626","71,159","71,743","68,946","81,208","79,603","71,665","82,355","75,429","86,738","91,044","97,202","87,545","72,604","77,548","78,314","90,178","80,992","60,466","86,064","91,435","86,802","91,145","77,579","91,502","80,631","82,169","77,365","99,878","86,578","83,577","96,782","98,827"
"Airseat","All, Scheduled","All airports in Hawaii","number","733,822","646,191","746,008","729,205","727,942","753,273","812,948","786,715","638,632","677,049","664,248","760,740","751,486","679,146","796,570","751,466","751,224","805,491","855,130","828,133","704,071","734,867","721,249","811,407","794,981","716,479","815,228","768,970","744,348","790,294","838,017","801,119","724,997","736,736","720,040","824,613","816,647","758,602","853,552","788,891","787,151","843,329","940,548","920,937","802,166","823,091","830,878","924,601","909,486","824,957","956,733","877,447","850,461","925,129","987,346","967,071","811,158","843,432","857,148","953,356","938,772","841,536","975,254","894,032","894,155","951,041","1,025,770","1,004,090","853,542","891,340","882,842","1,018,358","993,217","884,269","1,041,757","973,875","973,282","1,038,573","1,090,597","1,061,707","875,492","922,927","922,321","1,053,623","1,016,099","949,523","1,047,049","968,487","972,538","1,041,365","1,097,966","1,047,586","881,971","926,245","912,071","1,068,853","1,016,406","906,351","1,044,158","971,225","965,290","1,059,640","1,133,419","1,087,412","919,710","956,988","957,522","1,132,418","1,115,800","1,000,240","1,166,167","1,075,582","1,084,019","1,130,304","1,192,861","1,155,098","1,005,112","1,015,176","1,024,989","1,173,154","1,128,387","925,073","1,185,426","1,098,664","1,108,820","1,176,403","1,247,347","1,176,914","1,006,682","1,057,045","1,066,503","1,240,436","1,194,820","1,102,214","925,507","90,286","96,229","110,117","160,313","177,923","155,255","221,716","437,024","595,932","593,169","529,726","659,312","724,110","825,181","987,982","1,285,574","1,133,364","954,215","1,011,327","1,000,641","1,083,596","1,034,876","937,640","1,159,954","1,083,288","1,037,533","1,046,040","1,171,028","1,140,401","956,197","973,046","1,023,213","1,172,763","1,179,952","1,026,854","1,197,117","1,083,852","1,064,476","1,111,866","1,171,028","1,128,513","961,818","1,010,065","1,044,882","1,124,097","1,095,596","1,039,548","1,176,223","1,029,266","1,127,719","1,133,743","1,201,013","1,115,693","989,224","1,026,226","1,058,485","1,189,411","1,120,764","992,012","1,185,445","1,102,161","1,059,031","1,103,728","1,148,055","1,102,391","980,061","1,041,558","1,055,369","1,217,034","1,159,868","1,071,307","1,246,374","1,143,192"
"Airseat","All, Scheduled","Honolulu","number","520,688","459,238","523,594","519,717","530,805","531,044","565,959","555,094","482,300","497,065","486,253","541,587","536,953","477,604","544,307","516,577","529,398","551,634","574,198","567,931","506,946","513,669","507,694","562,255","558,686","501,570","560,776","521,352","527,402","540,105","563,130","555,912","523,120","521,264","507,636","563,145","561,417","514,231","565,766","536,210","557,854","591,698","647,752","648,446","589,517","588,617","578,788","637,091","622,566","564,109","654,870","615,900","625,481","658,449","698,606","700,718","612,300","624,050","613,578","668,919","654,431","582,216","662,259","619,583","645,472","670,280","704,023","700,354","626,305","639,384","616,352","687,456","667,446","591,157","682,664","653,029","678,027","692,980","730,655","727,787","630,046","650,399","636,278","696,737","671,990","626,257","675,516","646,244","678,312","689,392","718,543","698,132","629,312","652,119","621,575","692,530","668,418","594,661","664,209","638,041","661,648","693,981","741,127","726,587","643,220","656,307","631,388","713,461","698,475","620,703","695,222","651,558","675,259","693,481","730,750","728,780","666,699","663,622","641,516","716,568","695,632","557,962","713,111","670,423","690,095","701,510","746,579","720,368","660,257","673,909","656,979","750,881","728,891","661,452","557,910","73,828","87,351","93,522","131,544","152,033","129,049","154,259","234,788","328,050","320,075","283,184","351,095","370,053","420,233","497,693","599,294","575,973","484,904","497,447","500,889","572,498","541,903","489,503","590,706","572,849","552,629","527,203","688,396","622,268","546,278","569,067","591,872","674,238","682,596","595,411","676,100","635,340","634,922","650,816","688,396","685,074","628,998","660,325","673,275","699,569","699,358","661,681","743,635","650,622","733,428","725,829","762,880","712,554","641,417","660,798","675,366","756,361","714,822","673,437","758,598","724,174","687,392","707,619","746,040","711,866","641,310","680,086","667,446","753,626","723,935","651,302","754,500","707,078"
"Airseat","All, Scheduled","Kahului","number","125,393","112,042","133,002","121,900","112,174","129,915","145,499","134,188","90,984","104,281","103,520","128,996","126,893","120,358","150,614","138,169","127,495","148,913","167,601","155,027","118,787","134,481","135,639","156,143","145,374","132,475","159,732","153,977","127,672","145,810","159,531","140,837","118,777","123,873","125,829","154,707","153,466","146,185","168,955","146,418","130,434","142,050","174,292","159,664","121,355","135,150","145,449","167,609","168,317","151,399","177,254","155,054","134,627","161,403","176,241","159,294","118,929","126,546","142,081","172,111","164,413","149,874","184,956","166,673","149,009","160,974","183,438","170,585","136,745","147,749","161,238","200,178","198,604","177,908","218,014","195,493","175,804","199,809","205,666","190,165","151,505","163,518","173,545","215,371","203,015","190,966","223,082","198,040","178,021","203,369","216,253","195,436","157,706","166,191","177,443","222,670","204,317","180,875","222,042","201,053","179,554","198,122","212,504","194,929","161,621","165,302","182,760","225,382","219,391","198,389","247,304","226,425","209,864","230,610","244,743","229,821","188,028","187,137","198,759","241,821","227,818","186,619","250,043","241,065","228,732","265,892","281,408","257,291","204,791","222,366","231,519","277,908","261,360","243,125","206,153","7,821","3,474","10,974","18,461","12,373","13,195","31,068","107,560","175,410","185,146","160,072","200,961","225,584","243,005","278,205","440,317","308,898","248,472","284,080","268,289","251,895","282,137","262,896","329,044","291,261","265,870","287,001","271,578","289,492","227,166","226,601","246,275","281,996","289,545","252,241","302,720","252,877","238,705","257,952","271,578","235,222","160,238","165,647","188,691","217,265","209,405","201,234","230,701","205,617","197,915","205,132","221,164","202,883","179,965","184,138","198,395","220,273","208,040","167,415","228,429","215,372","185,554","198,332","212,566","195,175","168,585","179,080","203,362","232,008","219,253","219,090","265,008","223,735"
"Airseat","All, Scheduled","Kona","number","54,784","46,469","55,053","53,582","48,929","50,058","54,327","53,627","35,648","43,966","43,395","54,026","54,098","50,642","62,620","58,942","55,601","60,838","66,149","61,641","45,728","51,355","46,282","54,765","54,946","50,290","57,159","49,833","46,771","49,656","53,509","47,567","37,810","43,301","42,372","53,700","53,400","52,158","63,923","51,636","44,699","51,912","57,057","54,464","42,969","50,158","53,268","58,142","59,175","57,277","65,725","52,950","41,782","47,358","50,969","48,172","36,532","46,598","51,526","55,383","61,923","57,509","68,451","52,802","45,518","57,177","66,418","64,761","42,629","50,502","52,099","66,764","66,197","62,728","79,656","67,833","63,820","75,610","79,826","73,769","46,369","56,851","61,829","74,493","76,245","74,034","84,547","68,045","61,946","76,554","82,313","77,641","47,867","55,129","61,793","85,359","81,824","77,460","96,529","75,785","68,980","87,139","93,889","84,916","57,720","70,963","79,538","107,444","109,089","100,340","124,142","110,198","110,889","116,620","121,671","108,840","77,816","85,768","98,441","115,650","114,953","101,139","124,674","103,121","106,089","114,157","119,878","108,231","74,540","83,243","93,017","115,152","119,054","114,464","94,882","4,781","3,088","3,281","7,528","9,657","9,453","23,045","45,458","77,725","79,886","74,716","91,766","92,143","107,706","124,659","139,467","138,197","118,504","125,379","125,037","143,604","111,945","100,792","130,795","116,149","116,036","124,616","122,276","121,033","93,560","90,874","93,414","117,794","117,394","105,636","127,383","108,770","106,915","117,084","122,276","119,766","101,423","112,350","113,970","126,055","107,230","104,968","119,532","97,598","109,638","111,738","119,767","112,711","95,238","103,916","106,599","122,599","116,910","90,860","112,530","71,180","99,283","106,632","112,046","103,848","89,724","100,223","107,196","131,522","130,102","117,338","130,084","113,552"
