"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All visitors by air","Grand Total","Daily spending ($)","dollar","","","177.30","192.67","193.82","196.74","191.31","197.74","198.81","199.08","196.87","","200.99","231.94","241.18","244.72"
"Oahu visitors","Grand Total","Daily spending ($)","dollar","","175.05","192.68","213.93","209.89","209.48","202.26","198.56","198.13","196.87","194.60","","212.23","240.37","219.44","218.97"
"All visitors by air","Grand Total","% of total spending","percent","","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Oahu visitors","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"All visitors by air","Total Food and beverage","Daily spending ($)","dollar","","","37.47","39.23","39.26","40.06","39.31","40.99","41.53","41.23","41.35","","42.07","47.19","51.01","52.01"
"Oahu visitors","Total Food and beverage","Daily spending ($)","dollar","","43.24","48.32","41.82","39.95","40.59","39.46","38.21","37.95","38.13","41.27","","46.56","50.27","45.89","47.23"
"All visitors by air","Total Food and beverage","% of total spending","percent","","","21.1","20.4","20.3","20.4","20.5","20.7","20.9","20.7","21.0","","20.9","20.3","21.2","21.3"
"Oahu visitors","Total Food and beverage","% of total spending","percent","","24.7","25.1","19.5","19.0","19.4","19.5","19.2","19.2","19.4","21.2","","21.9","20.9","20.9","21.6"
"All visitors by air","Restaurant food","Daily spending ($)","dollar","","","25.67","27.20","27.06","27.45","26.41","27.95","28.05","27.46","27.62","","27.45","30.67","33.43","34.61"
"Oahu visitors","Restaurant food","Daily spending ($)","dollar","","30.58","34.66","30.48","28.93","28.71","26.42","25.84","25.67","25.47","26.94","","30.83","33.48","29.91","30.90"
"All visitors by air","Restaurant food","% of total spending","percent","","","14.5","14.1","14.0","14.0","13.8","14.1","14.1","13.8","14.0","","13.7","13.2","13.9","14.1"
"Oahu visitors","Restaurant food","% of total spending","percent","","17.5","18.0","14.2","13.8","13.7","13.1","13.0","13.0","12.9","13.8","","14.5","13.9","13.6","14.1"
"All visitors by air","Dinner shows and cruises","Daily spending ($)","dollar","","","3.72","3.82","3.65","3.85","3.85","4.01","4.22","4.40","4.18","","4.23","5.34","5.53","5.07"
"Oahu visitors","Dinner shows and cruises","Daily spending ($)","dollar","","4.37","4.45","4.23","3.80","3.94","4.55","4.18","4.85","4.61","5.63","","5.05","6.29","6.28","5.72"
"All visitors by air","Dinner shows and cruises","% of total spending","percent","","","2.1","2.0","1.9","2.0","2.0","2.0","2.1","2.2","2.1","","2.1","2.3","2.3","2.1"
"Oahu visitors","Dinner shows and cruises","% of total spending","percent","","2.5","2.3","2.0","1.8","1.9","2.2","2.1","2.4","2.3","2.9","","2.4","2.6","2.9","2.6"
"All visitors by air","Groceries and snacks","Daily spending ($)","dollar","","","8.08","8.21","8.55","8.76","9.05","9.03","9.21","9.36","9.54","","10.39","11.20","12.06","12.33"
